id,name,username,text,image_urls,file_urls
870911,William Nash,William_Nash,"<p>Apologies, I follow now - this still needs to be fixed on the pypi release, or at least let everyone know wth is going on!</p>",,
870910,Ssw,ssw1,"<p>Hello</p>
<p>I want to simply write gh data to an excel.</p>
<p>I used to use the tt toolbox plugin but it seems to have stopped working. Does anyone else have this issue, and if so, any recommendations for what i should use to get data to excel?</p>
<p>I have all my data, i just want to be able to give a directory, make a new excel file within gh and give it a name and write the data in the rows/columns as i wish.</p>
<p>Thanks!</p>",,
870909,Ivan Galik,ivan.galik,"<p>tried on my other pc</p>
<p><div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://global.discourse-cdn.com/mcneel/uploads/default/original/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29.png"" data-download-href=""/uploads/short-url/bxJDaRJBiSnTY0yVqGOM5XPpQW5.png?dl=1"" title=""image"" rel=""noopener nofollow ugc""><img src=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29_2_596x500.png"" alt=""image"" data-base62-sha1=""bxJDaRJBiSnTY0yVqGOM5XPpQW5"" width=""596"" height=""500"" srcset=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29_2_596x500.png, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29_2_894x750.png 1.5x, https://global.discourse-cdn.com/mcneel/uploads/default/original/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29.png 2x"" data-dominant-color=""888D92""><div class=""meta""><svg class=""fa d-icon d-icon-far-image svg-icon"" aria-hidden=""true""><use href=""#far-image""></use></svg><span class=""filename"">image</span><span class=""informations"">935×784 57.5 KB</span><svg class=""fa d-icon d-icon-discourse-expand svg-icon"" aria-hidden=""true""><use href=""#discourse-expand""></use></svg></div></a></div><br>
Rhino 8 SR0 2023-10-19 (Rhino 8 BETA, 8.0.23292.13303, Git hash:master @ bdbf32cf54f4fdd6a528fcb0214c29cce2cdddbe)<br>
License type: Commercial, build 2023-10-19<br>
License details: Cloud Zoo<br>
Expires on: 2023-12-03</p>
<p>Windows 10 (10.0.19045 SR0.0) or greater (Physical RAM: 7.7Gb)<br>
.NET 7.0.0</p>
<p>Computer platform: LAPTOP  - Plugged in [97% battery remaining]</p>
<p>Hybrid graphics configuration.<br>
Primary display: Intel(R) HD Graphics 4000 (Intel) Memory: 2GB, Driver date: 12-21-2015 (M-D-Y).<br>
&gt; Integrated graphics device with 3 adapter port(s)<br>
- Windows Main Display is laptop’s integrated screen or built-in port<br>
Primary OpenGL: NVIDIA GeForce GT 640M (NVidia) Memory: 1GB, Driver date: 4-9-2019 (M-D-Y). OpenGL Ver: 4.6.0 NVIDIA 425.31<br>
&gt; Integrated accelerated graphics device (shares primary device ports)<br>
- Video pass-through to primary display device</p>
<p>OpenGL Settings<br>
Safe mode: Off<br>
Use accelerated hardware modes: On<br>
Redraw scene when viewports are exposed: On<br>
Graphics level being used: OpenGL 4.6 (primary GPU’s maximum)</p>
<p>Anti-alias mode: 4x<br>
Mip Map Filtering: Linear<br>
Anisotropic Filtering Mode: High</p>
<p>Vendor Name: NVIDIA Corporation<br>
Render version: 4.6<br>
Shading Language: 4.60 NVIDIA<br>
Driver Date: 4-9-2019<br>
Driver Version: 25.21.14.2531<br>
Maximum Texture size: 16384 x 16384<br>
Z-Buffer depth: 24 bits<br>
Maximum Viewport size: 16384 x 16384<br>
Total Video Memory: 1 GB</p>
<p>Rhino plugins that do not ship with Rhino<br>
C:\Users\Samsung\AppData\Roaming\McNeel\Rhinoceros\packages\8.0\Bullant\23.9.28.0\bullant.rhp	“bullant”	23.9.28.0</p>
<p>Rhino plugins that ship with Rhino<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\Commands.rhp	“Commands”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\rdk.rhp	“Renderer Development Kit”	<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\RhinoRenderCycles.rhp	“Rhino Render”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\RhinoRender.rhp	“Legacy Rhino Render”	<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\rdk_etoui.rhp	“RDK_EtoUI”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\NamedSnapshots.rhp	“Snapshots”	<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\MeshCommands.rhp	“MeshCommands”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\RhinoCycles.rhp	“RhinoCycles”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\RhinoCode\RhinoCodePlugin.rhp	“RhinoCodePlugin”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\Toolbars\Toolbars.rhp	“Toolbars”	8.0.23292.13303<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\3dxrhino.rhp	“3Dconnexion 3D Mouse”	<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\Displacement.rhp	“Displacement”	<br>
C:\Program Files\Rhino 8 WIP\Plug-ins\SectionTools.rhp	“SectionTools”</p>",https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/0/e/50e82cfd207d948bd77c46ac60ca6d71cb921c29_2_596x500.png,
870907,William Nash,William_Nash,"<p>So now I am receiving a KeyError: ‘{0}’ - it would be better to implement a <em>try</em> method that will allow for different python versions. I’m on python 3.9, ghhops-sever 1.5.5, hops v0.15.5</p>",,
870906,,Turner,"<p>Ok, that’s what I figured.</p>",,
870905,peter harris,phcreates,"<p>Are you wanting to create a zigzag polyline that follows a curve? Why not just draw a section and copy it to make the length you need, then flow along curve?</p>",,
870904,Martin Siegrist,martinsiegrist,"<p><a class=""mention"" href=""/u/santa"">@Santa</a></p>
<details>
<summary>
System Info</summary>
<aside class=""quote no-group"" data-username=""Santa"" data-post=""16"" data-topic=""131905"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/santa/48/508367_2.png"" class=""avatar""> Santa:</div>
<blockquote>
<p>Rhino 8 SR0 2023-10-19 (Rhino 8 BETA, 8.0.23292.13304, Git hash:master @ bdbf32cf54f4fdd6a528fcb0214c29cce2cdddbe)<br>
License type: Educational, build 2023-10-19<br>
License details: Cloud Zoo<br>
Expires on: 2023-12-03</p>
<p>Apple macOS Version 13.4.1 (Build 22F82) (Physical RAM: 32Gb)<br>
Mac Model Identifier: MacBookPro18,2<br>
Language: en<br>
.NET 7.0.0</p>
<p>Metal GPU Family Apple 7<br>
Metal GPU Family Common 3<br>
Metal GPU Family Mac 2<br>
Graphics processors<br>
Apple M1 Max<br>
Color LCD (1728 x 1117 @ 120.00Hz)</p>
<p>USB devices<br>
None</p>
<p>Bluetooth devices<br>
None</p>
<p>Third party kernel extensions<br>
None</p>
<p>Third party plugins<br>
/usr/lib/swift/libswiftCore.dylib<br>
/usr/lib/swift/libswiftCoreFoundation.dylib<br>
/usr/lib/swift/libswiftDarwin.dylib<br>
/usr/lib/swift/libswiftDispatch.dylib<br>
/usr/lib/swift/libswiftIOKit.dylib<br>
/usr/lib/swift/libswiftObjectiveC.dylib<br>
/usr/lib/swift/libswiftXPC.dylib<br>
/usr/lib/swift/libswift_Concurrency.dylib<br>
/usr/lib/swift/libswift_StringProcessing.dylib<br>
/usr/lib/swift/libswiftos.dylib<br>
/usr/lib/swift/libswift_RegexParser.dylib<br>
/usr/lib/swift/libswiftMetal.dylib<br>
/usr/lib/swift/libswiftsimd.dylib<br>
/usr/lib/usd/libIex.dylib<br>
/usr/lib/usd/libHalf.dylib<br>
/usr/lib/usd/libAlembic.dylib<br>
/usr/lib/usd/libusd_ms.dylib<br>
/usr/lib/usd/libosdCPU.dylib<br>
/usr/lib/usd/libImath.dylib<br>
/usr/lib/usd/libIlmThread.dylib<br>
/usr/lib/usd/libIexMath.dylib<br>
/usr/lib/usd/libtbb.dylib<br>
/usr/lib/usd/libMaterialXCore.dylib<br>
/usr/lib/usd/libMaterialXFormat.dylib<br>
/usr/lib/swift/libswiftAVFoundation.dylib<br>
/usr/lib/swift/libswiftCoreAudio.dylib<br>
/usr/lib/swift/libswiftCoreLocation.dylib<br>
/usr/lib/swift/libswiftCoreMIDI.dylib<br>
/usr/lib/swift/libswiftCoreMedia.dylib<br>
/usr/lib/swift/libswiftQuartzCore.dylib<br>
/usr/lib/swift/libswiftUniformTypeIdentifiers.dylib<br>
/usr/lib/swift/libswiftNetwork.dylib<br>
/usr/lib/swift/libswiftCryptoTokenKit.dylib<br>
/usr/lib/swift/libswiftCoreGraphics.dylib<br>
/usr/lib/swift/libswiftOSLog.dylib<br>
/usr/lib/swift/libswiftAccelerate.dylib<br>
/usr/lib/swift/libswiftAppKit.dylib<br>
/usr/lib/swift/libswiftCoreImage.dylib<br>
/usr/lib/swift/libswiftCompression.dylib<br>
/usr/lib/swift/libswiftFileProvider.dylib<br>
/usr/lib/swift/libswiftIntents.dylib<br>
/usr/lib/swift/libswiftPrivate_BiomePubSub.dylib<br>
/usr/lib/swift/libswiftPrivate_BiomeStreams.dylib<br>
/usr/lib/swift/libswiftExtensionFoundation.dylib<br>
/usr/lib/swift/libswiftCoreML.dylib<br>
/usr/lib/swift/libswiftVision.dylib<br>
/usr/lib/swift/libswiftDemangle.dylib<br>
/usr/lib/swift/libswiftSystem.dylib<br>
/usr/lib/swift/libswiftExtensionKit.dylib<br>
/usr/lib/swift/libswiftRegexBuilder.dylib<br>
/usr/lib/swift/libswiftWebKit.dylib<br>
/usr/lib/swift/libswiftGLKit.dylib<br>
/usr/lib/swift/libswiftMapKit.dylib<br>
/usr/lib/swift/libswiftModelIO.dylib<br>
/usr/lib/swift/libswiftSceneKit.dylib<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/MacPlugIns/DatasmithRhino7.rhp/DatasmithFacadeCSharp.dylib<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/MacPlugIns/DatasmithRhino7.rhp/libtbbmalloc.dylib<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/packages/8.0/IntelDenoiser/0.6.7/libtbb.12.dylib<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/packages/8.0/IntelDenoiser/0.6.7/libOpenImageDenoise.1.4.3.dylib<br>
/usr/lib/log/liblog_network.dylib</p>
<p>Rhino plugins that do not ship with Rhino<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/MacPlugIns/DatasmithRhino7.rhp “Datasmith Exporter” 5.2.0.0<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/packages/8.0/AMDDenoiser/0.5.3/AMDDenoiser.Mac.rhp “AMDDenoiser.Mac” 1.0.0.0<br>
/Users/santa_mac/Library/Application Support/McNeel/Rhinoceros/packages/8.0/IntelDenoiser/0.6.7/IntelDenoiser.Mac.rhp “IntelDenoiser.Mac” 1.0.0.0</p>
<p>Rhino plugins that ship with Rhino<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhMaterialEditor.framework “Renderer Development Kit” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/Commands.rhp “Commands” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/PlugIns/NamedSnapshots.rhp “Snapshots” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/RhinoCodePlugin.rhp “RhinoCodePlugin” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/RDK_EtoUI.rhp “RDK_EtoUI” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/MeshCommands.rhp “MeshCommands” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/RhinoRenderCycles.rhp “Rhino Render” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/RhinoCycles.rhp “RhinoCycles” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/PlugIns/AnimationTools.rhp “AnimationTools” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/PlugIns/SectionTools.rhp “SectionTools” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/PlugIns/RhinoRender.rhp “Legacy Rhino Render” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/PlugIns/Displacement.rhp “Displacement” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/PlugIns/PanelingTools.rhp “PanelingTools” 8.0.23292.1002<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/RhinoDLR_Python.rhp “IronPython” 8.0.23292.13304<br>
/Applications/RhinoBETA.app/Contents/Frameworks/RhCore.framework/Resources/ManagedPlugIns/GrasshopperPlugin.rhp “Grasshopper” 8.0.23292.13304</p>
</blockquote>
</aside>
</details>",,
870903,Nathan Bossett,Nathan_Bossett,"<p>The normal selected objects API followed by the get selected subobjects call seems to work for me.</p>
<p>Example: the Rhino6 logo model file.  If I select the large part of the logo after opening it, I get a group of 5 breps.</p>
<p>(not posting the file since it was behind one of the ‘enter your email to download’ type prompts on the McNeel site).</p>
<p>What’s your context? Do you have a selected group being passed into a script or plugin?   Has the user selected something and then run a command or clicked a button on a plugin you wrote?  Are you running a script to find top level groups and then act on them?</p>",,
870902,Pejo,Pejo,<p>so you also´want to creat the structure? could you also upload the surfaces you want to apply the pattern to or is it only the already referenced loft result in the script?</p>,,
870901,Steve Baer,stevebaer,<p>Try disabling the three plugins that do not ship with Rhino with the plugin manager and restart Rhino. Does this make a difference?</p>,,
870900,Nathan Bossett,Nathan_Bossett,"<aside class=""quote no-group"" data-username=""davide76"" data-post=""14"" data-topic=""32545"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/davide76/48/502826_2.png"" class=""avatar""> davide76:</div>
<blockquote>
<p>For a nurbs modeler, I believe it is unacceptable to drag unresolved functional bugs from version to version.</p>
</blockquote>
</aside>
<p>That seems like an unreasonably high bar given that bug reports are not a static situation.  Sometimes it would even block the release of fixes to other functional bugs: that’s certainly the case with V8 in which a significant rewrite either automatically solved or enabled solving things that were simply not practical to fix in V7.</p>
<p>I believe any argument with that statement would amount to version naming rather than actual development practices.  “So release the new one as 7.38 instead of 8.0 because it doesn’t clear the functional bug list even though it’s a dramatic change internally and visually” is just a question of what color you paint the box it comes in, not how you develop the product or how it behaves for users on the latest patch version.</p>
<p>I do agree that devs should generally focus on maintaining a solid foundation before getting distracted by a new shiny thing.</p>",,
870899,Steve Baer,stevebaer,"<aside class=""quote no-group"" data-username=""allanbeagle"" data-post=""6"" data-topic=""167562"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/allanbeagle/48/507254_2.png"" class=""avatar""> allanbeagle:</div>
<blockquote>
<p>Is that because the new Mac books are using a different chip ? It makes using 8 on the present laptop really difficult</p>
</blockquote>
</aside>
<p>Yes, this only happens Macs with Intel GPUs and does not happen on AMD GPUs or on Silicon chips (M1, M2,…) We absolutely plan to have this working on these Macs, but haven’t figured out what the exact bug is yet.</p>",,
870898,Eduardo,Eduardo6,"<p>Hi, unfortunately I still haven’t learned how to use these more advanced tools, like Grasshopper and others.<br>
but we’re trying.</p>",,
870897,fn_a,fn_a,"<p>Hello,<br>
anyone have news about a temporary selectable geometry inside rhino?<br>
Thank you</p>",,
870896,Wim Dekeyser,wim,"<p>Hi Allan -</p>
<aside class=""quote no-group"" data-username=""allanbeagle"" data-post=""6"" data-topic=""167562"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/allanbeagle/48/507254_2.png"" class=""avatar""> allanbeagle:</div>
<blockquote>
<p>I see that it is on “normal” priority and worked on by “none”.</p>
</blockquote>
</aside>
<p>This item is currently on David Eränen’s list and is scheduled for 8.1. The “worked on by” field is not always used when developers are working on their items and it basically doesn’t mean anything.<br>
-wim</p>",,
870893,Wim Dekeyser,wim,"<p>Hi Turner -</p>
<aside class=""quote no-group"" data-username=""Turner"" data-post=""13"" data-topic=""121489"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/turner/48/496020_2.png"" class=""avatar""> Turner:</div>
<blockquote>
<p>I haven’t dug around much, but can the axes be set to <em>world coordinates</em> now?</p>
</blockquote>
</aside>
<p>No. We don’t have any plans on changing the current behavior. As both Pascal and Nathan stated, those are the axis of the CPlane.<br>
-wim</p>",,
870892,Michael Vollrath,michaelvollrath,"<p>Of course! Happy to help and a pleasant weekend to you as well, thank you!</p>
<blockquote>
<p>PS regarding your title, the “Mass Addition” component does “repeat addition” if you connect a panel to the “Partial Results” of that component you will see that the component sequentially adds each item before it into the list to provide a total sum at the “current index”</p>
<p>So if you have a list of 10 items each with varying values, the partial results at index 8 would be the sum of all values of indices 0-7, the sum of 9 would be 0-8 and so on.</p>
<p>It’s a helpful component for certain operations.</p>
</blockquote>",,
870891,Wim Dekeyser,wim,"<p>Hi Milo -</p>
<aside class=""quote no-group"" data-username=""milo.snyder"" data-post=""12"" data-topic=""109652"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/milo.snyder/48/477050_2.png"" class=""avatar""> Milo Snyder:</div>
<blockquote>
<p>Are you able to reset my trial period so I can test and report back?</p>
</blockquote>
</aside>
<p>We have no mechanism for resetting evaluations. Rhino 8 will be released in the not too distant future and you’ll be able to evaluate that when it comes out.<br>
-wim</p>",,
